langpair,ld_cosine,hd_cosine,ld_euclidean,hd_euclidean,syntactic,phono,inventory,featural,ld_lfe,hd_lfe,genetic,geographic,hd_lda_euclidean,hd_lda_cosine,hd_lid,hd_lp-400_euclidean,hd_lda_lp-400_euclidean,jaccard_phoible,vec_phoible,hd_nd_euclidean,hd_lda_nd_euclidean,hd_lp-100_euclidean,hd_lda_lp-100_euclidean,ld_sig,hd_sig
de-fa,-0.0523432940,-0.1059849635,2.1115245819,2.6708934307,0.5800000000,0.5456000000,0.6153000000,0.6000000000,-3.3063972910,4.2743851972,1.0000000000,1.0000000000,3.8417410851,-0.1896926910,0.5467058855,2.5911731720,3.6419281960,0.6730769231,0.0209994167,1.9902620316,2.7129447460,2.3589634895,3.1447701454,0.0000000000,0.0000000000
de-fr,-0.0084435577,-0.0433620363,2.0193901062,2.6273748875,0.4600000000,0.2617000000,0.3886000000,0.4000000000,11.8990420385,13.3580104981,0.8571000000,0.0000000000,3.6500079632,-0.2994735241,0.5261839958,2.5382270813,3.4706926346,0.7017543860,0.0185755788,2.0578811169,2.8059101105,2.3125808239,3.0282266140,1.0000000000,1.0000000000
de-it,-0.1255731881,-0.1649630517,2.1682064533,2.8361699581,0.5200000000,0.5456000000,0.4819000000,0.5000000000,0.1059411326,-1.9131092671,0.8571000000,0.0000000000,4.0611767769,-0.2947374582,0.5354517436,2.7724115849,3.9326081276,0.6792452830,0.0308480895,2.1128923893,2.9003217220,2.5231974125,3.3994410038,0.0000000000,0.0000000000
de-kab,-0.3208526075,-0.2376607507,2.3882439137,2.7961533070,0.7800000000,0.5456000000,0.6513000000,0.7000000000,6.7501425193,16.8826261882,1.0000000000,0.1000000000,4.2291727066,-0.0866319090,0.5502218194,2.7390663624,4.0606331825,0.7931034483,0.0433854908,2.2011132240,3.0484974384,2.5553307533,3.5685532093,1.0000000000,1.0000000000
de-rw,-0.2698327899,-0.2117363811,2.9030129910,3.2345304489,0.8100000000,0.5456000000,0.4747000000,0.6000000000,-8.7791116849,43.3195226991,1.0000000000,0.3000000000,5.1706223488,-0.2414841056,0.5855781644,3.1259477139,4.8261451721,0.6093750000,0.0245700246,2.7382526398,4.0852065086,2.9785223007,4.3729238510,-1.0000000000,1.0000000000
en-fa,-0.0940787047,-0.1022622511,2.0054116249,2.5398542881,0.5700000000,0.5687000000,0.5983000000,0.6000000000,9.9100572608,-2.5459722699,1.0000000000,1.0000000000,3.5080890656,-0.1751908660,0.5627846027,2.4521226883,3.3292865753,0.7222222222,0.0218210013,1.9488569498,2.6355483532,2.1884500980,2.8058822155,0.0000000000,0.0000000000
en-fr,-0.1281542629,-0.1473964155,1.9825160503,2.6273934841,0.4600000000,0.4270000000,0.4753000000,0.5000000000,19.8059577151,16.9683374068,0.9000000000,0.0000000000,3.5749785900,0.0150233414,0.5372754400,2.5481998920,3.4248399734,0.6296296296,0.0224266820,2.1564524174,2.9725701809,2.2526783943,2.8793091774,1.0000000000,1.0000000000
en-it,-0.2735849321,-0.1914068311,2.1457397938,2.7398307323,0.5100000000,0.5687000000,0.5064000000,0.5000000000,7.9886211491,15.2668951589,0.9000000000,0.1000000000,3.7845697403,-0.2768977284,0.5480708334,2.6409001350,3.5958061218,0.6538461538,0.0253513514,2.1603803635,2.9314730167,2.4081180096,3.1315248013,1.0000000000,1.0000000000
en-kab,-0.1571388096,-0.1597714126,2.0845811367,2.5762112141,0.6900000000,0.5687000000,0.6656000000,0.7000000000,1.5013225989,7.4782587195,1.0000000000,0.1000000000,3.6838128567,-0.1725316942,0.5882126171,2.5067141056,3.5371265411,0.7272727273,0.0473648649,2.2068657875,3.0530767441,2.2429409027,2.9684450626,0.0000000000,0.0000000000
en-rw,-0.1437277496,-0.1269408315,2.6358928680,3.0077962875,0.7700000000,0.5687000000,0.5182000000,0.6000000000,-14.2758974196,30.6808094477,1.0000000000,0.3000000000,4.6306624413,-0.1798627973,0.5786377660,2.9275636673,4.3926057816,0.6307692308,0.0263174869,2.6242532730,3.8844394684,2.7004950047,3.8457727432,-1.0000000000,1.0000000000
