langpair,hd_lda_euclidean,syntactic,phono,inventory,genetic,geographic,jaccard_phoible,vec_phoible
tt-ta,3.9324388504,0.5300000000,0.879,0.6196,1,,,
tt-tr,2.8508849144,0.5100000000,1,0.6196,0.4286,,,
tt-uk,2.9568886757,0.6200000000,0.879,0.6737,1,,,
tt-zh-CN,4.7779002190,0.6900000000,0.879,0,1,,,
uk-ar,2.79634285,0.61,0.0002,0.6737,1,,,
uk-eo,3.054767132,0.67,0.0002,0.6737,1,,,
uk-es,3.181671619,0.52,0.5922,0.5275,0.9231,,,
uk-eu,3.357366323,0.65,0.641,0.5715,1,,,
uk-fy-NL,3.05141449,0.59,0.0002,0.6737,0.8333,,,
uk-nl,3.082131386,0.47,0.0002,0.4527,0.9,,,
uk-pl,2.441987991,0.37,0.6162,0.4504,0.5,,,
uk-pt,2.641771317,0.44,0.0002,0.4048,0.9333,,,
uk-ru,2.208063364,0.37,0.6162,0.385,0.2,,,
uk-sv-SE,2.979985952,0.51,0.0002,0.5227,0.8571,,,
uk-tr,2.433845043,0.69,0.5922,0.4752,1,,,
uk-zh-CN,4.25515604,0.61,0.0002,0.6737,1,,,
zh-CN-ar,4.108912945,0,0.0002,0,1,,,
zh-CN-eo,4.095973492,0.74,0.0002,0,1,,,
zh-CN-es,4.426571369,0.56,0.5922,0.6832,1,,,
zh-CN-fy-NL,4.887774944,0.71,0.0002,0,1,,,
zh-CN-nl,4.192712307,0.63,0.0002,0.6068,1,,,
zh-CN-pl,4.136013508,0.6,0.6162,0.6597,1,,,
zh-CN-pt,4.156991482,0.61,0.0002,0.6328,1,,,
zh-CN-ru,4.51378727,0.57,0.6162,0.688,1,,,
zh-CN-sv-SE,4.241798401,0.64,0.0002,0.6153,1,,,
zh-CN-tr,4.063554764,0.55,0.5922,0.6196,1,,,
