langpair,hd_lda_euclidean,syntactic,phono,featural,genetic,geographic,jaccard_phoible,vec_phoible
fa-tr,2.55393219,0.55,,,,,,
fr-ar,2.685004711,0.57,,,,,,
fr-cy,3.113268852,0.56,,,,,,
fr-en,2.728411436,0.46,,,,,,
fr-fa,2.876391411,0.57,,,,,,
fr-fy-NL,3.289981365,0.65,,,,,,
fr-it,2.579465389,0.55,,,,,,
fr-pt,2.457813978,0.46,,,,,,
fr-ru,2.937568188,0.51,,,,,,
fr-rw,4.244057655,0.71,,,,,,
fr-sv-SE,2.60163784,0.44,,,,,,
fr-tr,2.451417446,0.68,,,,,,
fy-NL-pt,3.315524578,0.62,,,,,,
fy-NL-ru,3.516040325,0.63,,,,,,
fy-NL-rw,4.684294701,0.81,,,,,,
fy-NL-sv-SE,3.147400379,0.51,,,,,,
fy-NL-tr,3.269171715,0.74,,,,,,
it-fa,2.873544693,0.61,,,,,,
it-fy-NL,3.245394468,0.56,,,,,,
it-pt,2.59710598,0.3,,,,,,
it-ru,3.059875011,0.56,,,,,,
it-rw,4.226874828,0.8,,,,,,
it-sv-SE,2.724131107,0.51,,,,,,
it-tr,2.746872187,0.67,,,,,,
kab-ar,2.720321178,0.77,,,,,,
kab-cy,3.055955648,0.6,,,,,,
kab-en,2.895007849,0.69,,,,,,
kab-eo,3.189372063,0.7,,,,,,
kab-es,3.275330544,0.7,,,,,,
kab-eu,3.668305159,0.83,,,,,,
kab-fa,3.176455021,0.77,,,,,,
kab-fr,2.625856161,0.69,,,,,,
kab-fy-NL,3.234297514,0.79,,,,,,
kab-it,3.01442337,0.74,,,,,,
kab-nl,3.426599503,0.76,,,,,,
kab-pl,3.079452991,0.74,,,,,,
kab-pt,2.869314432,0.73,,,,,,
kab-ru,3.289063454,0.79,,,,,,
kab-rw,4.138970852,0.71,,,,,,
kab-sv-SE,2.918280363,0.67,,,,,,
kab-tr,2.975214958,0.88,,,,,,
kab-zh-CN,4.305716515,0.77,,,,,,
nl-ar,3.161711454,0.63,,,,,,
nl-cy,3.301780939,0.6,,,,,,
nl-en,2.719326019,0.49,,,,,,
nl-eo,3.320534945,0.68,,,,,,
nl-es,3.341805935,0.58,,,,,,
nl-fa,3.196457863,0.63,,,,,,
nl-fr,3.012944221,0.51,,,,,,
nl-fy-NL,2.949329853,0.44,,,,,,
nl-it,3.333527327,0.43,,,,,,
nl-pt,2.900888681,0.49,,,,,,
nl-ru,3.262930632,0.57,,,,,,
nl-rw,4.641465664,0.79,,,,,,
nl-sv-SE,2.805808067,0.36,,,,,,
nl-tr,3.080253363,0.71,,,,,,
