,cat,cym,deu,eng,fas,fra,ita,kab,kin
cat,0.0,0.1,0.1,0.1,1.0,0.0,0.0,0.0,0.3
cym,0.1,0.0,0.1,0.0,1.0,0.0,0.1,0.1,0.3
deu,0.1,0.1,0.0,0.1,1.0,0.0,0.0,0.1,0.3
eng,0.1,0.0,0.1,0.0,1.0,0.0,0.1,0.1,0.3
fas,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
fra,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.3
ita,0.0,0.1,0.0,0.1,1.0,0.0,0.0,0.0,0.3
kab,0.0,0.1,0.1,0.1,1.0,0.1,0.0,0.0,0.2
kin,0.3,0.3,0.3,0.3,1.0,0.3,0.3,0.2,0.0
