,cat,cym,deu,eng,fas,fra,ita,kab,kin
cat,0.0,0.6162,0.3333,0.2804,0.6162,0.3333,0.6162,0.6162,0.6162
cym,0.6162,0.0,0.5456,0.5687,0.0002,0.5456,0.0002,0.0002,0.0002
deu,0.3333,0.5456,0.0,0.3277,0.5456,0.2617,0.5456,0.5456,0.5456
eng,0.2804,0.5687,0.3277,0.0,0.5687,0.427,0.5687,0.5687,0.5687
fas,0.6162,0.0002,0.5456,0.5687,0.0,0.5456,0.0002,0.0002,0.0002
fra,0.3333,0.5456,0.2617,0.427,0.5456,0.0,0.5456,0.5456,0.5456
ita,0.6162,0.0002,0.5456,0.5687,0.0002,0.5456,0.0,0.0002,0.0002
kab,0.6162,0.0002,0.5456,0.5687,0.0002,0.5456,0.0002,0.0,0.0002
kin,0.6162,0.0002,0.5456,0.5687,0.0002,0.5456,0.0002,0.0002,0.0
